class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732930	317391489	258750422	258659966	244325181	192624873	192690272	174673521	449664	29932683	1436321	288363926	250079253	69653677
SD	13444719	13346645	10768707	10780816	10351741	7949635	7976347	6952834	18800	1519504	69362	11855853	2875993	10568726
ct	26418632	26232447	21562146	21530960	20335294	15868920	15861167	14225194	37270	2604861	116642	23697129	14258381	12160251
mon	1686153	1672426	1374194	1341564	1290424	1137671	1135961	933963	3074	183705	8244	1494204	387950	1298203
dhor	231824	228337	180196	175201	171795	144548	144117	97045	560	33148	2311	196365	50293	181531
hor	1010001	989369	655638	649823	641884	549435	545374	348445	1817	230845	15668	763488	21951	988050
hor_active	7780728	7695434	5414924	5226287	5429129	3876082	3861427	2232121	9484	1562831	66538	6151359	37138	7743590
bsat	1076205	1054521	623529	621125	482726	194267	199301	191059	3637	373374	20511	682320	170450	905755
gsat	81320	79822	46425	45814	35932	19126	19144	13443	123	25548	1229	54543	50961	30359
hsat1A	1673860	1645229	1004589	1017880	1115066	60568	58960	57259	555	449776	22823	1201261	13445	1660415
hsat1B	1914998	1913175	590058	569476	638559	444550	447019	418766	1428	1104262	1547	809189	12590	1902408
hsat2	3588214	3573472	2364710	2348788	2197160	247262	228741	131493	4465	1053380	13506	2521328	43843	3544371
hsat3	8666790	8636130	5641640	5674114	5475681	4559858	4480596	3872549	9250	2171631	22988	6472171	170805	8495985
censat	1114063	1103976	707817	702409	645094	417831	413375	277805	2041	276431	7325	830307	168118	945945
rDNA	1241011	1238787	871894	869300	794456	653023	658359	613057	1550	264557	1778	974676	413	1240598
ALL	389661448	386801259	310556889	310213523	293930122	228747649	228720160	205038554	543718	41786536	1806793	346068119	268341584	121319864
