class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732816	289715580	29976320	29856939	14486067	1586783	1597857	800267	1	244367730	28635621	46729465	318867349	865467
SD	13444269	12001474	998200	988651	530123	48324	48477	23515	0	10509310	1399523	1535436	9262705	4181564
ct	26418632	23971513	2270223	2232189	1062477	96339	98014	45616	0	20600650	2351298	3466684	23370344	3048288
mon	1686153	1468949	25766	23387	12664	1961	2048	650	0	1428602	215328	42223	1369777	316376
dhor	231824	181601	1499	1411	1056	380	397	58	0	179587	50115	2122	210498	21326
hor	1010001	706954	417	468	476	149	151	30	0	706342	303042	617	290597	719404
hor_active	7780728	5294305	1006	1087	1017	321	385	83	0	5293040	2486339	1349	1023633	6757095
bsat	1076205	765363	11107	11178	4329	296	299	93	0	748663	310505	17037	651090	425115
gsat	81320	64849	1073	1136	357	0	0	7	0	63020	16398	1902	72748	8572
hsat1A	1673860	957449	0	0	0	0	0	0	0	957449	716411	0	369135	1304725
hsat1B	1914998	1891999	21	21	4	0	0	3	0	1891974	22999	25	238446	1676552
hsat2	3588214	3055535	19	109	11	8	8	7	0	3055425	532677	112	520735	3067479
hsat3	8666790	6889243	63	81	22	4	2	0	0	6889104	1777542	144	2177649	6489141
censat	1114063	977911	21798	20127	8598	1439	1398	1045	0	947371	135427	31265	500167	613896
rDNA	1241011	1135612	104721	102343	104556	52347	49372	88916	0	1022079	105260	113672	8383	1232628
ALL	389660884	349078337	33412233	33239127	16211757	1788351	1798408	960290	1	298660346	39058485	51942053	358933256	30727628
