class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319731734	169998675	260	138	121	53	53	2	1	169998322	149732933	479	319706604	25130
SD	13439726	7145627	252	264	276	264	246	261	0	7145446	6294004	276	12255701	1184025
ct	26418632	14412528	0	21	0	0	0	0	0	14412507	12006104	21	25990431	428201
mon	1686153	834847	0	0	0	0	0	0	0	834847	851306	0	1633198	52955
dhor	231824	86599	0	0	0	0	0	0	0	86599	145225	0	230659	1165
hor	1010001	164280	0	0	0	0	0	0	0	164280	845721	0	801669	208332
hor_active	7780728	1099038	0	0	0	0	0	0	0	1099038	6681690	0	5440856	2339872
bsat	1076205	410231	0	0	0	0	0	0	0	410231	665974	0	957691	118514
gsat	81320	18380	0	0	0	0	0	0	0	18380	62940	0	78242	3078
hsat1A	1673860	155588	0	0	0	0	0	0	0	155588	1518272	0	1342245	331615
hsat1B	1914998	1813069	0	0	0	0	0	0	0	1813069	101929	0	1277165	637833
hsat2	3588214	725383	0	0	0	0	0	0	0	725383	2862831	0	2411404	1176810
hsat3	8666790	3438165	0	0	0	0	0	0	0	3438165	5228625	0	5754787	2912003
censat	1114063	670739	0	0	0	0	0	0	0	670739	443324	0	870833	243230
rDNA	1241011	278168	0	0	0	0	0	0	0	278168	962843	0	59483	1181528
ALL	389655259	201251317	512	423	397	317	299	263	1	201250762	188403721	776	378810968	10844291
