class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732916	313893935	195994796	195839958	171216466	99925110	100005410	81929657	0	72975522	4135499	242621895	294790575	24942341
SD	13444669	13180965	7905163	7909685	7091870	3844417	3867222	2986290	0	3684491	208259	9551919	5052180	8392489
ct	26418632	25953043	16245572	16170275	14046013	7946251	7942436	6420155	0	6462792	341646	19614194	18473516	7945116
mon	1686153	1640734	750369	712807	599903	327491	327387	214682	0	710138	35640	940375	909978	776175
dhor	231824	219556	77978	71482	60116	33041	32766	16478	0	125346	10690	95788	141955	89869
hor	1010001	944655	166054	167123	142608	72971	73550	17994	0	707566	62890	239545	68113	941888
hor_active	7780728	7450813	1604433	1409697	1519841	295295	285259	70674	0	5357403	316474	2106851	135683	7645045
bsat	1076205	1008561	257974	252411	180113	42612	43163	31215	0	706561	66609	303035	317422	758783
gsat	81320	77893	26741	26523	17592	4193	4238	2172	0	43364	3120	34836	62824	18496
hsat1A	1673860	1555954	66710	65695	112136	0	0	1	0	1398433	116792	158635	52628	1621232
hsat1B	1914998	1909730	48377	26672	45758	587	660	11053	0	1856244	5262	53492	39247	1875751
hsat2	3588214	3527967	479404	486001	325776	372	359	259	0	2911029	59701	617484	153598	3434616
hsat3	8666790	8483984	1225297	1251240	1111596	584510	569474	651296	0	6884717	172948	1609125	633526	8033264
censat	1114063	1088644	412206	406672	314073	109205	105992	50013	0	573937	22193	517933	274113	839950
rDNA	1241011	1233933	485477	477145	390631	240364	240251	233792	0	642282	6526	592203	1156	1239855
ALL	389661384	382170367	225746551	225273386	197174492	113426419	113498167	92635731	0	105039825	5564249	279057310	321106514	68554870
