class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732931	319348384	309605985	309551319	307262614	298896126	298901117	295726670	243622096	647408	28604	319056919	40350184	279382747
SD	13444733	13425930	12921601	12922339	12841529	12372887	12376688	12175361	10245285	40896	1729	13402108	505064	12939669
ct	26418632	26389496	25642243	25634730	25446795	24751644	24749935	24464112	20131707	52804	2174	26363654	2248904	24169728
mon	1686153	1684535	1648311	1644233	1640168	1625294	1625030	1594559	1297232	2691	118	1683344	43417	1642736
dhor	231824	231316	224691	224032	223944	219550	219247	209561	176312	583	31	231210	6828	224996
hor	1010001	1006667	948436	946751	948184	927006	925865	874596	777649	5076	312	1004613	3704	1006297
hor_active	7780728	7765563	7360116	7341922	7372350	7095695	7088220	6605514	5988173	36693	1698	7742337	5925	7774803
bsat	1076205	1071272	964069	962738	921218	837410	833633	826131	823440	12064	597	1063544	34658	1041547
gsat	81320	80934	71612	71481	68122	63176	63139	60177	62088	956	53	80311	14208	67112
hsat1A	1673860	1671672	1630569	1626515	1633179	1590327	1592223	1563241	1347333	2304	196	1671360	1049	1672811
hsat1B	1914998	1914879	1792267	1789937	1799935	1769365	1769714	1767470	1498662	9952	12	1905034	1006	1913992
hsat2	3588214	3585512	3330557	3321841	3300000	2342510	2356452	2168280	2773470	29381	348	3558485	7428	3580786
hsat3	8666790	8662112	8082320	8077548	8026453	7629890	7582459	7282122	6612514	57937	490	8608363	22989	8643801
censat	1114063	1111509	1025959	1024248	1010975	945568	944699	906488	845895	8208	269	1105586	33526	1080537
rDNA	1241011	1240442	1108373	1106667	1073509	1007669	1011273	990178	947362	16381	69	1224561	167	1240844
ALL	389661463	389190223	376357109	376246301	373568975	362074117	362039694	357214460	297149218	923334	36700	388701429	43279057	346382406
