class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732630	255641916	1664251	1648504	354729	25063	25434	15362	2	253077338	63926408	2728884	319595330	137300
SD	13443519	10496513	46935	46602	15283	4533	4532	3887	0	10424697	2941876	76946	10699702	2743817
ct	26418632	21209977	111989	108347	23706	1195	1097	995	0	21040019	5197815	180798	24848315	1570317
mon	1686153	1252498	129	139	54	0	0	0	0	1252243	433649	261	1516282	169871
dhor	231824	145853	0	0	15	0	0	0	0	145838	85971	15	223747	8077
hor	1010001	504533	1	0	0	0	0	0	0	504532	505468	1	494543	515458
hor_active	7780728	3295306	28	58	30	0	0	0	0	3295248	4485422	58	2348950	5431778
bsat	1076205	623872	377	337	173	0	0	0	0	623296	452317	592	803853	272352
gsat	81320	47766	15	15	4	0	0	0	0	47747	33554	19	76457	4863
hsat1A	1673860	591488	0	0	0	0	0	0	0	591488	1082372	0	715729	958131
hsat1B	1914998	1869567	0	0	0	0	0	0	0	1869567	45431	0	551533	1363465
hsat2	3588214	2276642	0	0	0	0	0	0	0	2276642	1311572	0	1057276	2530938
hsat3	8666790	5378743	0	0	0	0	0	0	0	5378743	3288047	0	3393415	5273375
censat	1114063	864797	974	976	729	646	647	651	0	863670	249231	1162	642436	471627
rDNA	1241011	926808	54694	50948	54066	155	155	23821	0	872004	314203	54804	21233	1219778
ALL	389659948	305126279	1879393	1855926	448789	31592	31865	44716	2	302263072	84353336	3043540	366988801	22671147
