class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732880	303991692	91579374	91375547	63356036	16554826	16590408	10426431	0	173643856	13565958	132523066	316228962	3503918
SD	13444519	12687152	3387959	3377751	2455663	523688	528716	304050	0	8003489	688789	4752241	7762903	5681616
ct	26418632	25146242	7335513	7257300	4936621	1181434	1184527	725109	0	15006882	1119789	10291961	21866220	4552412
mon	1686153	1569269	184161	170700	116298	30627	30645	20510	0	1305030	110120	271003	1228024	458129
dhor	231824	201893	11687	10368	7273	4237	4199	2676	0	186546	29317	15961	195042	36782
hor	1010001	838977	4032	3911	2058	852	848	588	0	833304	170915	5782	168609	841392
hor_active	7780728	6598777	14963	7293	3900	1787	1795	1167	0	6583108	1181738	15882	464581	7316147
bsat	1076205	886365	46256	47212	26168	3734	3627	2013	0	820147	189286	66772	517656	558549
gsat	81320	72622	7170	7139	3871	103	128	47	0	61845	8476	10999	68516	12804
hsat1A	1673860	1270044	0	0	0	0	0	0	0	1270044	403816	0	181319	1492541
hsat1B	1914998	1902120	212	185	224	79	77	91	0	1901829	12878	291	114290	1800708
hsat2	3588214	3365993	3804	5963	423	58	53	42	0	3358587	222194	7433	308347	3279867
hsat3	8666790	7828199	3988	3940	2677	327	295	366	0	7820873	838216	7701	1391659	7275131
censat	1114063	1043426	123748	117695	63082	7518	7474	4125	0	880648	68425	164990	397117	716946
rDNA	1241011	1203796	177887	176533	150738	94821	94449	123291	0	994295	36712	210004	3783	1237228
ALL	389661198	368606567	102880754	102561537	71125032	18404091	18447241	11610506	0	222670483	18646629	148344086	350897028	38764170
