class	valid_positions	shared_hg002	shared_chimp	shared_bonobo	shared_gorilla	shared_borang	shared_sorang	shared_siamang	shared_random	human_specific	chm13_only	ape_any	unique_in_query	multi_in_query
unique	319732316	216344451	34121	35278	6658	925	885	503	0	216289532	103382956	59828	319681898	50418
SD	13442269	8910173	1864	2103	1480	1311	1300	1298	0	8907866	4531658	2745	11537936	1904333
ct	26418632	18072723	2332	2352	416	4	4	86	0	18069255	8345629	3748	25586860	831772
mon	1686153	1042432	0	0	0	0	0	0	0	1042432	643721	0	1590531	95622
dhor	231824	116282	0	0	0	0	0	0	0	116282	115542	0	228679	3145
hor	1010001	340692	0	0	0	0	0	0	0	340692	669309	0	652706	357295
hor_active	7780728	2106337	0	0	0	0	0	0	0	2106337	5674391	0	3798656	3982072
bsat	1076205	524258	0	0	0	0	0	0	0	524258	551947	0	890376	185829
gsat	81320	30996	0	0	0	0	0	0	0	30996	50324	0	77726	3594
hsat1A	1673860	345521	0	0	0	0	0	0	0	345521	1328339	0	1033478	640382
hsat1B	1914998	1842402	0	0	0	0	0	0	0	1842402	72596	0	902181	1012817
hsat2	3588214	1491155	0	0	0	0	0	0	0	1491155	2097059	0	1684588	1903626
hsat3	8666790	4239993	0	0	0	0	0	0	0	4239993	4426797	0	4509766	4157024
censat	1114063	766821	315	310	317	308	310	309	0	766559	347186	318	751352	362711
rDNA	1241011	633579	24365	24333	24333	0	0	0	0	609214	607432	24365	38389	1202622
ALL	389658384	256807815	62997	64376	33204	2548	2499	2196	0	256722494	132844886	91004	372965122	16693262
